epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4118.71,1.12133,0.57325,1.035,0.61994,0.58462,0.62809,0.41583,1.21878,0.62637,1.11738,0.000382115,0.000382115,0.000382115
76,4172.47,1.11387,0.56532,1.02907,0.61669,0.59181,0.62964,0.416,1.21476,0.61878,1.11415,0.000367967,0.000367967,0.000367967
77,4226.72,1.10998,0.5711,1.03837,0.61358,0.59524,0.63022,0.41622,1.21869,0.61878,1.11497,0.00035382,0.00035382,0.00035382
78,4280.91,1.10053,0.55842,1.02816,0.62251,0.58701,0.63137,0.41591,1.21238,0.61539,1.1171,0.000339673,0.000339673,0.000339673
79,4335.36,1.10411,0.56228,1.02546,0.61612,0.58675,0.6292,0.41554,1.21838,0.62665,1.11788,0.000325526,0.000325526,0.000325526
80,4389.68,1.09645,0.56197,1.03139,0.61658,0.58928,0.62987,0.41668,1.2105,0.62706,1.11527,0.000311379,0.000311379,0.000311379
81,4444.37,1.09942,0.56057,1.02983,0.61718,0.59015,0.63009,0.41713,1.212,0.62199,1.11642,0.000297232,0.000297232,0.000297232
82,4498.67,1.09764,0.55857,1.02673,0.62108,0.5844,0.63053,0.41851,1.21479,0.62349,1.11884,0.000283085,0.000283085,0.000283085
83,4553.17,1.09705,0.5544,1.02397,0.62256,0.58368,0.63011,0.41667,1.21387,0.62247,1.11661,0.000268938,0.000268938,0.000268938
84,4607.66,1.09299,0.5512,1.02932,0.61498,0.58826,0.63036,0.41828,1.21221,0.62324,1.11657,0.000254791,0.000254791,0.000254791
85,4662.02,1.08021,0.54859,1.01712,0.61801,0.58838,0.62975,0.41568,1.21431,0.62958,1.11725,0.000240644,0.000240644,0.000240644
86,4715.77,1.08946,0.54615,1.02217,0.60443,0.60182,0.62989,0.41657,1.21667,0.62264,1.11742,0.000226497,0.000226497,0.000226497
87,4769.86,1.08579,0.54231,1.01831,0.6226,0.58675,0.6318,0.41661,1.21934,0.62244,1.1205,0.000212349,0.000212349,0.000212349
88,4824.21,1.08099,0.54461,1.02312,0.61949,0.58765,0.63032,0.4167,1.21444,0.6237,1.11919,0.000198202,0.000198202,0.000198202
89,4877.68,1.0793,0.54775,1.02175,0.61867,0.59237,0.63166,0.41811,1.21361,0.61341,1.11616,0.000184055,0.000184055,0.000184055
90,4931.6,1.08343,0.53902,1.01884,0.62311,0.58736,0.63111,0.41564,1.21505,0.61978,1.11768,0.000169908,0.000169908,0.000169908
91,5009.39,1.06311,0.47405,1.02586,0.6221,0.5806,0.63019,0.41527,1.22164,0.62865,1.12056,0.000155761,0.000155761,0.000155761
92,5062.92,1.0549,0.46814,1.022,0.6228,0.58014,0.62894,0.41449,1.21991,0.62149,1.12201,0.000141614,0.000141614,0.000141614
93,5116.54,1.0536,0.46301,1.02227,0.61937,0.58277,0.62866,0.41535,1.21758,0.62308,1.1207,0.000127467,0.000127467,0.000127467
94,5169.89,1.04334,0.45933,1.01833,0.61687,0.58524,0.63022,0.41581,1.21542,0.6222,1.11893,0.00011332,0.00011332,0.00011332
95,5224.39,1.04663,0.45722,1.01905,0.62061,0.57994,0.62882,0.41574,1.21527,0.62252,1.11939,9.91726e-05,9.91726e-05,9.91726e-05
96,5287.71,1.04223,0.45529,1.01728,0.61707,0.58858,0.62898,0.4161,1.21535,0.62536,1.11944,8.50255e-05,8.50255e-05,8.50255e-05
97,5347.38,1.03803,0.45341,1.01389,0.61866,0.58404,0.62913,0.41537,1.21608,0.62437,1.12047,7.08784e-05,7.08784e-05,7.08784e-05
98,5401.07,1.03536,0.44925,1.01198,0.62189,0.58229,0.62958,0.41482,1.21789,0.62212,1.12188,5.67313e-05,5.67313e-05,5.67313e-05
99,5454.34,1.03179,0.44936,1.01156,0.62593,0.5795,0.62993,0.4154,1.21675,0.62269,1.12246,4.25842e-05,4.25842e-05,4.25842e-05
100,5508.11,1.03826,0.45199,1.01523,0.62601,0.58033,0.62955,0.41483,1.21642,0.62541,1.12219,2.84371e-05,2.84371e-05,2.84371e-05
